"id","name","code_prefix_start","code_prefix_end","chart_template_id/id"
"acc_group_010_st","010 Środki Trwałe","010","010","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_020_wnip","020 Wartości Niematerialne i Prawne","020","020","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_030_iat","030 Inne Aktywa trwałe","030","030","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_070_ust","070 Umorzenie Środków Trwałych","071","071","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_072_uwnip","072 Umorzenie Wartosci Niematerialnych i Prawnych","072","072","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_080_stwb","080 Środki trwałe w budowie","080","080","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_100_k","100 Kasa","101","101","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_130_b","130 Bank","130","149","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_200_niz","200 Należności i zobowiązania","200","270","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_300_rzis","300 Rozliczenie zakupu i sprzedaży","300","302","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_310_m","310 Materiały","310","310","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_330_t","330 Towary","330","330","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_400_a","400 Amortyzacja","400","400","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_401_zmie","401 Zużycie materiałów i energii","401","401","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_402_uo","402 Usługi obce","402","402","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_403_pio","403 Podatki i opłaty","403","403","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_404_w","404 Wynagrodzenia","404","404","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_405_uisnrp","405 Ubezpieczenia i świadczenia na rzecz pracowników","405","405","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_406_pk","406 Pozostałe koszty","406","406","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_490_rk","490 Rozliczenie kosztów","490","490","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_600_wg","600 Wyroby gotowe","600","600","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_640_rmk","640 Rozliczenia międzyokresowe kosztów","640","642","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_650_aztpo","650 Aktywa z tytułu podatku odroczonego","650","650","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_700_pzsp","700 Przychody ze sprzedazy produktów","701","702","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_703_ksp","703 Koszt sprzedanych produktów","703","703","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_730_pzst","730 Przychody ze sprzedaży towarów","730","730","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_731_kst","731 Koszt sprzedanych towarów","731","731","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_740_pzsm","740 Przychody ze sprzedaży materiałów","740","740","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_741_ksm","741 Koszt sprzedanych materiałów","741","741","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_750_pf","750 Przychody finansowe","750","750","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_751_kf","751 Koszty finansowe","751","751","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_760_ppo","760 Pozostałe przychody operacyjne","760","760","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_761_pko","761 Pozostałe koszty operacyjne","761","761","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_800_kz","800 Kapitał zakładowy","800","800","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_810_kz","810 Kapitał zapasowy","810","810","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_820_rwf","820 Rozliczenie wyniku finansowego","820","820","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_830_r","830 Rezerwy","830","830","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_840_z","840 Zaliczki","840","840","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_850_zfss","850 ZFŚS","850","850","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_860_wf","860 Wynik finansowy","860","860","l10n_pl_trilab.pl_trilab_chart_template"
"acc_group_870_pd","870 Podatek dochodowy","870","870","l10n_pl_trilab.pl_trilab_chart_template"